,crime,year,long,lat,city,neighborhood
322,LARCENY/THEFT,2016,-78.87422821061949,42.9411207476925,Buffalo,.
323,BURGLARY,2016,-78.9087092,42.9428068,Buffalo,.
324,BURGLARY,2016,-78.80589385205771,42.943962982545294,Buffalo,.
326,LARCENY/THEFT,2016,-78.85719350723129,42.9063705144775,Buffalo,.
327,LARCENY/THEFT,2016,-78.8635314672456,42.8717547863715,Buffalo,.
328,ASSAULT,2016,-78.81827339068259,42.8501797962951,Buffalo,.
330,ROBBERY,2016,-78.8905737970368,42.9161088666522,Buffalo,.
331,BURGLARY,2016,-78.8214303824424,42.9147644214264,Buffalo,.
333,BURGLARY,2016,-78.8181475077365,42.85632639736379,Buffalo,.
334,LARCENY/THEFT,2016,-78.8836473453267,42.9427153017788,Buffalo,.
336,LARCENY/THEFT,2016,-78.8006319,42.926792999999996,Buffalo,.
337,ROBBERY,2016,-78.8579161655044,42.8841707761976,Buffalo,.
340,ASSAULT,2016,-78.8999901449243,42.96154897757749,Buffalo,.
344,LARCENY/THEFT,2016,-78.8118732700481,42.904549241613104,Buffalo,.
346,ASSAULT,2016,-78.84119774353559,42.883578557415,Buffalo,.
348,LARCENY/THEFT,2016,-78.84601192118191,42.918963659605,Buffalo,.
349,LARCENY/THEFT,2016,-78.8678989205937,42.945389637887395,Buffalo,.
350,BURGLARY,2016,-78.80667445505391,42.932601871977894,Buffalo,.
351,LARCENY/THEFT,2016,-78.8360282358636,42.8785687663035,Buffalo,.
353,LARCENY/THEFT,2016,-78.8271722554361,42.91296881756461,Buffalo,.
354,MURDER,2016,-78.8252920369267,42.852168229595605,Buffalo,.
355,LARCENY/THEFT,2016,-78.8892921916253,42.9060697199144,Buffalo,.
356,ASSAULT,2016,-78.83670260562769,42.9339387201516,Buffalo,.
357,LARCENY/THEFT,2016,-78.8353727610655,42.88252141227171,Buffalo,.
358,LARCENY/THEFT,2016,-78.8166752041437,42.9307984113744,Buffalo,.
359,LARCENY/THEFT,2016,-78.8893142064088,42.940697277463606,Buffalo,.
360,LARCENY/THEFT,2016,-78.8434942972322,42.950578716377294,Buffalo,.
361,UUV,2016,-78.8669903668833,42.910188086024704,Buffalo,.
364,LARCENY/THEFT,2016,-78.88750788939208,42.9455038441937,Buffalo,.
