crime,year,long,lat,city,neighborhood
BURGLARY-RESIDENCE,2012,-84.35916999999998,33.739909999999995,Atlanta,Grant Park
BURGLARY-RESIDENCE,2012,-84.41421,33.75805,Atlanta,Vine City
ROBBERY-COMMERCIAL,2012,-84.36350999999998,33.77343,Atlanta,Poncey-Highland
LARCENY-FROM VEHICLE,2012,-84.41278,33.80388,Atlanta,Berkeley Park
ROBBERY-PEDESTRIAN,2012,-84.3784,33.73014000000001,Atlanta,Grant Park
AUTO THEFT,2012,-84.39088000000002,33.66833,Atlanta,Glenrose Heights
BURGLARY-RESIDENCE,2012,-84.39745,33.70819,Atlanta,Amal Heights
LARCENY-FROM VEHICLE,2012,-84.38704,33.77962,Atlanta,Midtown
LARCENY-FROM VEHICLE,2012,-84.3645,33.77073,Atlanta,Old Fourth Ward
AUTO THEFT,2012,-84.41011,33.77182,Atlanta,English Avenue
LARCENY-FROM VEHICLE,2012,-84.36350999999998,33.77343,Atlanta,Poncey-Highland
AGG ASSAULT,2012,-84.34079,33.75871,Atlanta,Edgewood
ROBBERY-PEDESTRIAN,2012,-84.4679,33.79907,Atlanta,Carver Hills
LARCENY-FROM VEHICLE,2012,-84.45218,33.78688,Atlanta,Grove Park
ROBBERY-PEDESTRIAN,2012,-84.50479,33.76061,Atlanta,Adamsville
AUTO THEFT,2012,-84.39099,33.733979999999995,Atlanta,Summerhill
AUTO THEFT,2012,-84.42057,33.74647,Atlanta,Ashview Heights
LARCENY-FROM VEHICLE,2012,-84.45149,33.70055,Atlanta,Fort Valley
LARCENY-NON VEHICLE,2012,-84.38895,33.77101,Atlanta,Downtown
LARCENY-FROM VEHICLE,2012,-84.39949,33.72382,Atlanta,Pittsburgh
LARCENY-FROM VEHICLE,2012,-84.48676999999998,33.76716,Atlanta,Collier Heights
BURGLARY-NONRES,2012,-84.43096,33.80135,Atlanta,Hills Park
AUTO THEFT,2012,-84.40165,33.789590000000004,Atlanta,Atlantic Station
BURGLARY-RESIDENCE,2012,-84.38422,33.73016,Atlanta,Peoplestown
AUTO THEFT,2012,-84.45306,33.705,Atlanta,Campbellton Road
AGG ASSAULT,2012,-84.46623000000002,33.75183,Atlanta,Florida Heights
BURGLARY-RESIDENCE,2012,-84.37826,33.72636,Atlanta,Grant Park
BURGLARY-NONRES,2012,-84.38526,33.77407,Atlanta,Midtown
LARCENY-NON VEHICLE,2012,-84.36514,33.77714,Atlanta,Virginia Highland
BURGLARY-RESIDENCE,2012,-84.3605,33.69534,Atlanta,Norwood Manor
BURGLARY-RESIDENCE,2012,-84.38407,33.730129999999996,Atlanta,Peoplestown
LARCENY-NON VEHICLE,2012,-84.36838,33.84641,Atlanta,North Buckhead
LARCENY-NON VEHICLE,2012,-84.35556,33.7588,Atlanta,Inman Park
BURGLARY-RESIDENCE,2012,-84.35014,33.75273,Atlanta,Reynoldstown
BURGLARY-RESIDENCE,2012,-84.37857,33.77248,Atlanta,Midtown
AGG ASSAULT,2012,-84.33038,33.71898,Atlanta,East Atlanta
LARCENY-FROM VEHICLE,2012,-84.50208,33.75736,Atlanta,Adamsville
LARCENY-NON VEHICLE,2012,-84.38023000000003,33.77067,Atlanta,Old Fourth Ward
LARCENY-NON VEHICLE,2012,-84.37576,33.85204,Atlanta,North Buckhead
LARCENY-NON VEHICLE,2012,-84.38686,33.742290000000004,Atlanta,Summerhill
LARCENY-FROM VEHICLE,2012,-84.43354000000002,33.771029999999996,Atlanta,Bankhead
AUTO THEFT,2012,-84.34971,33.7245,Atlanta,Ormewood Park
LARCENY-NON VEHICLE,2012,-84.34619,33.75674,Atlanta,Edgewood
LARCENY-FROM VEHICLE,2012,-84.3798,33.77414,Atlanta,Midtown
BURGLARY-RESIDENCE,2012,-84.34658,33.80043,Atlanta,Morningside/Lenox Park
LARCENY-NON VEHICLE,2012,-84.43443,33.714929999999995,Atlanta,Venetian Hills
LARCENY-NON VEHICLE,2012,-84.3584,33.84574,Atlanta,Lenox
LARCENY-FROM VEHICLE,2012,-84.41286,33.80944,Atlanta,Channing Valley
LARCENY-FROM VEHICLE,2012,-84.42605,33.79857,Atlanta,Blandtown
BURGLARY-RESIDENCE,2012,-84.43739000000002,33.71996,Atlanta,Venetian Hills
LARCENY-NON VEHICLE,2012,-84.39466,33.7921,Atlanta,Atlantic Station
BURGLARY-RESIDENCE,2012,-84.41988,33.74459,Atlanta,Harris Chiles
LARCENY-NON VEHICLE,2012,-84.34602,33.759570000000004,Atlanta,Edgewood
AUTO THEFT,2012,-84.3631,33.77386,Atlanta,Virginia Highland
BURGLARY-RESIDENCE,2012,-84.44468,33.72019,Atlanta,Venetian Hills
LARCENY-NON VEHICLE,2012,-84.3841,33.83399,Atlanta,Peachtree Heights West
BURGLARY-RESIDENCE,2012,-84.48888000000002,33.771609999999995,Atlanta,Collier Heights
LARCENY-NON VEHICLE,2012,-84.45832,33.8008,Atlanta,Carver Hills
LARCENY-NON VEHICLE,2012,-84.40796,33.72142,Atlanta,Adair Park
BURGLARY-RESIDENCE,2012,-84.50335,33.75289,Atlanta,Adamsville
AGG ASSAULT,2012,-84.40822,33.67888,Atlanta,Hammond Park
LARCENY-NON VEHICLE,2012,-84.3922,33.75666,Atlanta,Downtown
LARCENY-NON VEHICLE,2012,-84.35075,33.76408,Atlanta,Inman Park
AUTO THEFT,2012,-84.40256,33.72274,Atlanta,Pittsburgh
BURGLARY-RESIDENCE,2012,-84.35879,33.82712,Atlanta,Pine Hills
LARCENY-FROM VEHICLE,2012,-84.37715,33.7475,Atlanta,Oakland
LARCENY-FROM VEHICLE,2012,-84.40309,33.8109,Atlanta,Collier Hills
LARCENY-NON VEHICLE,2012,-84.39322,33.72327,Atlanta,Peoplestown
AGG ASSAULT,2012,-84.4233,33.745290000000004,Atlanta,Harris Chiles
AGG ASSAULT,2012,-84.3859,33.7664,Atlanta,Downtown
LARCENY-NON VEHICLE,2012,-84.42551999999998,33.73907,Atlanta,West End
AUTO THEFT,2012,-84.41619,33.67479,Atlanta,Hammond Park
LARCENY-NON VEHICLE,2012,-84.36211999999998,33.846759999999996,Atlanta,Lenox
LARCENY-NON VEHICLE,2012,-84.40422,33.71194000000001,Atlanta,Sylvan Hills
AUTO THEFT,2012,-84.31149,33.7503,Atlanta,Kirkwood
ROBBERY-PEDESTRIAN,2012,-84.41711,33.808679999999995,Atlanta,Wildwood (NPU-C)
ROBBERY-RESIDENCE,2012,-84.46786999999998,33.81422,Atlanta,Riverside
ROBBERY-COMMERCIAL,2012,-84.46544,33.75121,Atlanta,Florida Heights
LARCENY-NON VEHICLE,2012,-84.36121999999997,33.81038,Atlanta,Morningside/Lenox Park
LARCENY-FROM VEHICLE,2012,-84.35544,33.78709,Atlanta,Virginia Highland
BURGLARY-RESIDENCE,2012,-84.36702,33.85387,Atlanta,North Buckhead
LARCENY-NON VEHICLE,2012,-84.36211999999998,33.846759999999996,Atlanta,Lenox
LARCENY-FROM VEHICLE,2012,-84.36717,33.75412,Atlanta,Old Fourth Ward
AUTO THEFT,2012,-84.4257,33.72263,Atlanta,Oakland City
